,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,191100000.0,198500000.0,202900000.0,200400000.0
Share Issued,191100000.0,198500000.0,202900000.0,200400000.0
Net Debt,311929000.0,377765000.0,472829000.0,731193000.0
Total Debt,665753000.0,716476000.0,834417000.0,1049401000.0
Tangible Book Value,764005000.0,710052000.0,666308000.0,466368000.0
Invested Capital,2277108000.0,2322502000.0,2495152000.0,2558585000.0
Working Capital,642668000.0,639605000.0,658575000.0,643285000.0
Net Tangible Assets,764005000.0,710052000.0,666308000.0,466368000.0
Capital Lease Obligations,65267000.0,88524000.0,109910000.0,116787000.0
Common Stock Equity,1676622000.0,1694550000.0,1770645000.0,1625971000.0
Total Capitalization,2270905000.0,2316252000.0,2468302000.0,2531735000.0
Total Equity Gross Minority Interest,1661031000.0,1677215000.0,1754307000.0,1612575000.0
Minority Interest,-15591000.0,-17335000.0,-16338000.0,-13396000.0
Stockholders Equity,1676622000.0,1694550000.0,1770645000.0,1625971000.0
Gains Losses Not Affecting Retained Earnings,-36526000.0,-29530000.0,-21625000.0,-30755000.0
Other Equity Adjustments,-36526000.0,-29530000.0,-21625000.0,-30755000.0
Retained Earnings,-455676000.0,-527603000.0,-525158000.0,-638457000.0
Additional Paid In Capital,2166911000.0,2249698000.0,2315399000.0,2293179000.0
Capital Stock,1913000.0,1985000.0,2029000.0,2004000.0
Common Stock,1913000.0,1985000.0,2029000.0,2004000.0
Total Liabilities Net Minority Interest,1580671000.0,1710268000.0,1780394000.0,1863201000.0
Total Non Current Liabilities Net Minority Interest,797922000.0,851292000.0,978069000.0,1240641000.0
Other Non Current Liabilities,90167000.0,75669000.0,68920000.0,95041000.0
Non Current Deferred Liabilities,71497000.0,94235000.0,137971000.0,156283000.0
Non Current Deferred Taxes Liabilities,71497000.0,94235000.0,137971000.0,156283000.0
Long Term Debt And Capital Lease Obligation,636258000.0,681388000.0,771178000.0,989317000.0
Long Term Capital Lease Obligation,41975000.0,59686000.0,73521000.0,83553000.0
Long Term Debt,594283000.0,621702000.0,697657000.0,905764000.0
Current Liabilities,782749000.0,858976000.0,802325000.0,622560000.0
Other Current Liabilities,,7186000.0,,
Current Debt And Capital Lease Obligation,29495000.0,35088000.0,63239000.0,60084000.0
Current Capital Lease Obligation,23292000.0,28838000.0,36389000.0,33234000.0
Current Debt,6203000.0,6250000.0,26850000.0,26850000.0
Other Current Borrowings,6203000.0,6250000.0,26850000.0,26850000.0
Pensionand Other Post Retirement Benefit Plans Current,109626000.0,102750000.0,93131000.0,70303000.0
Payables And Accrued Expenses,643628000.0,713952000.0,645955000.0,492173000.0
Current Accrued Expenses,191948000.0,244386000.0,172394000.0,192507000.0
Payables,451680000.0,469566000.0,473561000.0,299666000.0
Accounts Payable,451680000.0,469566000.0,473561000.0,299666000.0
Total Assets,3241702000.0,3387483000.0,3534701000.0,3475776000.0
Total Non Current Assets,1816285000.0,1888902000.0,2073801000.0,2209931000.0
Other Non Current Assets,60555000.0,76666000.0,77193000.0,73311000.0
Goodwill And Other Intangible Assets,912617000.0,984498000.0,1104337000.0,1159603000.0
Other Intangible Assets,243553000.0,305010000.0,401470000.0,479009000.0
Goodwill,669064000.0,679488000.0,702867000.0,680594000.0
Net PPE,843113000.0,827738000.0,892271000.0,977017000.0
Accumulated Depreciation,-781367000.0,-693226000.0,-618867000.0,-494490000.0
Gross PPE,1624480000.0,1520964000.0,1511138000.0,1471507000.0
Other Properties,69561000.0,92928000.0,115458000.0,122481000.0
Machinery Furniture Equipment,1117332000.0,994227000.0,950946000.0,892288000.0
Buildings And Improvements,311436000.0,308278000.0,309821000.0,316529000.0
Land And Improvements,126151000.0,125531000.0,134913000.0,140209000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1425417000.0,1498581000.0,1460900000.0,1265845000.0
Other Current Assets,65212000.0,75456000.0,71155000.0,74767000.0
Assets Held For Sale Current,15565000.0,29334000.0,7217000.0,
Restricted Cash,,0.0,3500000.0,0.0
Prepaid Assets,,,78372000.0,74767000.0
Inventory,521549000.0,542543000.0,542910000.0,430112000.0
Inventories Adjustments Allowances,-78205000.0,-87238000.0,-78923000.0,-39579000.0
Finished Goods,445437000.0,467628000.0,421702000.0,323144000.0
Work In Process,16915000.0,19582000.0,13615000.0,9509000.0
Raw Materials,137402000.0,142571000.0,186516000.0,137038000.0
Receivables,534534000.0,601061000.0,584440000.0,559545000.0
Accounts Receivable,534534000.0,601061000.0,584440000.0,559545000.0
Allowance For Doubtful Accounts Receivable,-5734000.0,-5506000.0,-7662000.0,-10192000.0
Gross Accounts Receivable,540268000.0,606567000.0,592102000.0,569737000.0
Cash Cash Equivalents And Short Term Investments,288557000.0,250187000.0,251678000.0,201421000.0
Cash And Cash Equivalents,288557000.0,250187000.0,251678000.0,201421000.0
