,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,397947000.0,310552000.0,243755000.0,264877000.0
Repurchase Of Capital Stock,-277575000.0,-180142000.0,0.0,
Repayment Of Debt,-55158000.0,-1099490000.0,-229671000.0,-291632000.0
Issuance Of Debt,15500000.0,995038000.0,0.0,125000000.0
Capital Expenditure,-142324000.0,-102808000.0,-84464000.0,-45163000.0
End Cash Position,288557000.0,250187000.0,255178000.0,201421000.0
Beginning Cash Position,250187000.0,255178000.0,201421000.0,35290000.0
Effect Of Exchange Rate Changes,-957000.0,-5557000.0,-2704000.0,9327000.0
Changes In Cash,39327000.0,566000.0,56461000.0,156804000.0
Financing Cash Flow,-373165000.0,-324805000.0,-234347000.0,-175366000.0
Cash Flow From Continuing Financing Activities,-373165000.0,-324805000.0,-234347000.0,-175366000.0
Net Other Financing Charges,3002000.0,-4749000.0,-13495000.0,-9620000.0
Proceeds From Stock Option Exercised,6046000.0,10132000.0,8819000.0,886000.0
Cash Dividends Paid,-64980000.0,-45594000.0,0.0,0.0
Common Stock Dividend Paid,,,,0.0
Net Common Stock Issuance,-277575000.0,-180142000.0,0.0,
Common Stock Payments,-277575000.0,-180142000.0,0.0,
Net Issuance Payments Of Debt,-39658000.0,-104452000.0,-229671000.0,-166632000.0
Net Long Term Debt Issuance,-39658000.0,-104452000.0,-229671000.0,-166632000.0
Long Term Debt Payments,-55158000.0,-1099490000.0,-229671000.0,-291632000.0
Long Term Debt Issuance,15500000.0,995038000.0,0.0,125000000.0
Investing Cash Flow,-127779000.0,-87989000.0,-37411000.0,22130000.0
Cash Flow From Continuing Investing Activities,-127779000.0,-87989000.0,-37411000.0,22130000.0
Net Investment Purchase And Sale,0.0,0.0,-4874000.0,0.0
Purchase Of Investment,0.0,0.0,-4874000.0,0.0
Net Business Purchase And Sale,0.0,-3198000.0,46691000.0,57588000.0
Sale Of Business,0.0,0.0,66786000.0,57588000.0
Purchase Of Business,0.0,-3198000.0,-20095000.0,0.0
Net PPE Purchase And Sale,14545000.0,18017000.0,5236000.0,9705000.0
Sale Of PPE,14545000.0,18017000.0,5236000.0,9705000.0
Capital Expenditure Reported,-142324000.0,-102808000.0,-84464000.0,-45163000.0
Operating Cash Flow,540271000.0,413360000.0,328219000.0,310040000.0
Cash Flow From Continuing Operating Activities,540271000.0,413360000.0,328219000.0,310040000.0
Change In Working Capital,-50857000.0,-48469000.0,-6267000.0,157682000.0
Change In Other Working Capital,5948000.0,1888000.0,23562000.0,12361000.0
Change In Other Current Liabilities,-60836000.0,66536000.0,,
Change In Other Current Assets,-30852000.0,-27113000.0,-5151000.0,-4606000.0
Change In Payables And Accrued Expense,-53891000.0,-13366000.0,130554000.0,-11715000.0
Change In Accrued Expense,,57801000.0,-40844000.0,6674000.0
Change In Payable,-53891000.0,-13366000.0,171398000.0,-18389000.0
Change In Account Payable,-53891000.0,-13366000.0,171398000.0,-18389000.0
Change In Prepaid Assets,,1265000.0,-2342000.0,17539000.0
Change In Inventory,18753000.0,-52426000.0,-124154000.0,85893000.0
Change In Receivables,70021000.0,-23988000.0,-28736000.0,58210000.0
Other Non Cash Items,4103000.0,3751000.0,4053000.0,7105000.0
Stock Based Compensation,23749000.0,20089000.0,23178000.0,19536000.0
Provisionand Write Offof Assets,18974000.0,26336000.0,2950000.0,27364000.0
Asset Impairment Charge,0.0,39617000.0,0.0,657251000.0
Deferred Tax,-22272000.0,-45282000.0,-20552000.0,-41998000.0
Deferred Income Tax,-22272000.0,-45282000.0,-20552000.0,-41998000.0
Depreciation Amortization Depletion,235936000.0,241880000.0,237285000.0,214362000.0
Depreciation And Amortization,235936000.0,241880000.0,237285000.0,214362000.0
Amortization Cash Flow,,,,71715000.0
Amortization Of Intangibles,,,,71715000.0
Depreciation,,,,142647000.0
Operating Gains Losses,11919000.0,18875000.0,-26668000.0,11091000.0
Pension And Employee Benefit Expense,,2503000.0,2605000.0,3054000.0
Gain Loss On Sale Of PPE,-1046000.0,-1683000.0,-2240000.0,8037000.0
Gain Loss On Sale Of Business,12965000.0,16515000.0,-38131000.0,0.0
Net Income From Continuing Operations,318719000.0,156563000.0,114240000.0,-742353000.0
