,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-12226152.0,-13599660.0,8574804.0,-17745777.0
Tax Rate For Calcs,0.248,0.204,0.252,0.027
Normalized EBITDA,763621000.0,550555000.0,407864000.0,160595000.0
Total Unusual Items,-49299000.0,-66665000.0,34027000.0,-657251000.0
Total Unusual Items Excluding Goodwill,-49299000.0,-66665000.0,34027000.0,-657251000.0
Net Income From Continuing Operation Net Minority Interest,314238000.0,154969000.0,113299000.0,-743930000.0
Reconciled Depreciation,235936000.0,241880000.0,237285000.0,214362000.0
Reconciled Cost Of Revenue,2618646000.0,2907284000.0,2331715000.0,1490824000.0
EBITDA,714322000.0,483890000.0,441891000.0,-496656000.0
EBIT,478386000.0,242010000.0,204606000.0,-711018000.0
Net Interest Income,-54562000.0,-45204000.0,-51921000.0,-51731000.0
Interest Expense,54562000.0,45204000.0,51921000.0,51731000.0
Normalized Income,351310848.0,208034340.0,87846804.0,-104424777.0
Net Income From Continuing And Discontinued Operation,314238000.0,154969000.0,113299000.0,-743930000.0
Total Expenses,3251678000.0,3499566000.0,2902072000.0,1954591000.0
Diluted Average Shares,199906000.0,207259000.0,208325000.0,148370000.0
Basic Average Shares,196083000.0,201740000.0,201579000.0,148370000.0
Diluted EPS,1.57,0.75,0.54,-5.01
Basic EPS,1.6,0.77,0.56,-5.01
Diluted NI Availto Com Stockholders,314238000.0,154969000.0,113299000.0,-743930000.0
Net Income Common Stockholders,314238000.0,154969000.0,113299000.0,-743930000.0
Net Income,314238000.0,154969000.0,113299000.0,-743930000.0
Minority Interests,-4481000.0,-1594000.0,-941000.0,-1577000.0
Net Income Including Noncontrolling Interests,318719000.0,156563000.0,114240000.0,-742353000.0
Net Income Continuous Operations,318719000.0,156563000.0,114240000.0,-742353000.0
Tax Provision,105105000.0,40243000.0,38445000.0,-20396000.0
Pretax Income,423824000.0,196806000.0,152685000.0,-762749000.0
Other Income Expense,-28221000.0,-64372000.0,31688000.0,-656423000.0
Other Non Operating Income Expenses,21078000.0,2293000.0,-2339000.0,828000.0
Special Income Charges,-12965000.0,-58110000.0,38131000.0,-657251000.0
Impairment Of Capital Assets,12965000.0,58110000.0,-38131000.0,657251000.0
Gain On Sale Of Security,-36334000.0,-8555000.0,-4104000.0,
Net Non Operating Interest Income Expense,-54562000.0,-45204000.0,-51921000.0,-51731000.0
Interest Expense Non Operating,54562000.0,45204000.0,51921000.0,51731000.0
Operating Income,506607000.0,306382000.0,172918000.0,-54595000.0
Operating Expense,633032000.0,592282000.0,570357000.0,463767000.0
Selling General And Administration,633032000.0,592282000.0,570357000.0,463767000.0
Gross Profit,1139639000.0,898664000.0,743275000.0,409172000.0
Cost Of Revenue,2618646000.0,2907284000.0,2331715000.0,1490824000.0
Total Revenue,3758285000.0,3805948000.0,3074990000.0,1899996000.0
Operating Revenue,3661801000.0,3718221000.0,2999270000.0,1841553000.0
