,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,14711000.0,22722000.0,45490000.0
Repurchase Of Capital Stock,-3903000.0,-8256000.0,-2793000.0
Repayment Of Debt,-131000000.0,-226000000.0,-102000000.0
Issuance Of Debt,116000000.0,155000000.0,56000000.0
Issuance Of Capital Stock,0.0,60000000.0,0.0
Capital Expenditure,-10245000.0,-13857000.0,-12378000.0
Interest Paid Supplemental Data,9300000.0,10477000.0,11669000.0
Income Tax Paid Supplemental Data,14078000.0,9066000.0,21325000.0
End Cash Position,15428000.0,17703000.0,13806000.0
Beginning Cash Position,17703000.0,13806000.0,11092000.0
Changes In Cash,-2275000.0,3897000.0,2714000.0
Financing Cash Flow,-23375000.0,-22459000.0,-63005000.0
Cash Flow From Continuing Financing Activities,-23375000.0,-22459000.0,-63005000.0
Net Other Financing Charges,-2619000.0,-1369000.0,-1766000.0
Cash Dividends Paid,-1853000.0,-1834000.0,-12446000.0
Common Stock Dividend Paid,-1853000.0,-1834000.0,-12446000.0
Net Common Stock Issuance,-3903000.0,51744000.0,-2793000.0
Common Stock Payments,-3903000.0,-8256000.0,-2793000.0
Common Stock Issuance,0.0,60000000.0,0.0
Net Issuance Payments Of Debt,-15000000.0,-71000000.0,-46000000.0
Net Long Term Debt Issuance,-15000000.0,-71000000.0,-46000000.0
Long Term Debt Payments,-131000000.0,-226000000.0,-102000000.0
Long Term Debt Issuance,116000000.0,155000000.0,56000000.0
Investing Cash Flow,-3856000.0,-10223000.0,7851000.0
Cash From Discontinued Investing Activities,0.0,0.0,-225000.0
Cash Flow From Continuing Investing Activities,-3856000.0,-10223000.0,8076000.0
Net Other Investing Changes,6149000.0,2761000.0,20454000.0
Dividends Received Cfi,0.0,0.0,
Net Investment Purchase And Sale,,726000.0,0.0
Sale Of Investment,,726000.0,0.0
Net Business Purchase And Sale,240000.0,873000.0,0.0
Sale Of Business,240000.0,873000.0,0.0
Purchase Of Business,,,0.0
Net Intangibles Purchase And Sale,-29000.0,-318000.0,-498000.0
Purchase Of Intangibles,-29000.0,-318000.0,-498000.0
Capital Expenditure Reported,-10216000.0,-13539000.0,-11880000.0
Operating Cash Flow,24956000.0,36579000.0,57868000.0
Cash Flow From Continuing Operating Activities,24956000.0,36579000.0,57868000.0
Change In Working Capital,-25019000.0,-20563000.0,5939000.0
Change In Other Working Capital,-1823000.0,2308000.0,-7924000.0
Change In Other Current Liabilities,-10885000.0,-3933000.0,-17592000.0
Change In Other Current Assets,-1369000.0,-523000.0,-1905000.0
Change In Payables And Accrued Expense,14072000.0,-2191000.0,-12236000.0
Change In Accrued Expense,-1302000.0,-8759000.0,602000.0
Change In Payable,15374000.0,6568000.0,-12838000.0
Change In Account Payable,15374000.0,6568000.0,-12838000.0
Change In Prepaid Assets,-76000.0,1845000.0,-2296000.0
Change In Inventory,-14860000.0,-4547000.0,1471000.0
Change In Receivables,-10078000.0,-13522000.0,46421000.0
Changes In Account Receivables,-10078000.0,-13522000.0,46421000.0
Other Non Cash Items,4522000.0,-5196000.0,-1577000.0
Stock Based Compensation,7756000.0,19093000.0,7394000.0
Provisionand Write Offof Assets,-6000.0,-256000.0,1618000.0
Asset Impairment Charge,0.0,0.0,132579000.0
Deferred Tax,433000.0,6012000.0,-12216000.0
Deferred Income Tax,433000.0,6012000.0,-12216000.0
Depreciation Amortization Depletion,17161000.0,18516000.0,20867000.0
Depreciation And Amortization,17161000.0,18516000.0,20867000.0
Amortization Cash Flow,685000.0,762000.0,
Amortization Of Intangibles,685000.0,762000.0,
Depreciation,16476000.0,17754000.0,
Operating Gains Losses,451000.0,-1246000.0,188000.0
Pension And Employee Benefit Expense,451000.0,-234000.0,188000.0
Gain Loss On Sale Of Business,0.0,-1012000.0,0.0
Net Income From Continuing Operations,19658000.0,20219000.0,-96924000.0
