,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-439976.0,1052250.0,-33857500.0
Tax Rate For Calcs,0.344,0.25,0.25
Normalized EBITDA,59964000.0,59569000.0,79492000.0
Total Unusual Items,-1279000.0,4209000.0,-135430000.0
Total Unusual Items Excluding Goodwill,-1279000.0,4209000.0,-135430000.0
Net Income From Continuing Operation Net Minority Interest,19453000.0,19727000.0,-97213000.0
Reconciled Depreciation,17161000.0,18516000.0,20867000.0
Reconciled Cost Of Revenue,410816000.0,386412000.0,395634000.0
EBITDA,58685000.0,63778000.0,-55938000.0
EBIT,41524000.0,45262000.0,-76805000.0
Net Interest Income,-11570000.0,-9152000.0,-14372000.0
Interest Expense,11570000.0,9152000.0,14372000.0
Normalized Income,20292024.0,16570250.0,4359500.0
Net Income From Continuing And Discontinued Operation,19453000.0,19727000.0,-97637000.0
Total Expenses,448933000.0,430585000.0,429667000.0
Total Operating Income As Reported,41524000.0,45262000.0,-76805000.0
Diluted Average Shares,46813000.0,46690000.0,44477000.0
Basic Average Shares,46334000.0,46009000.0,44477000.0
Diluted EPS,0.42,0.42,-2.2
Basic EPS,0.42,0.43,-2.2
Diluted NI Availto Com Stockholders,19453000.0,19727000.0,-97637000.0
Net Income Common Stockholders,19453000.0,19727000.0,-97637000.0
Net Income,19453000.0,19727000.0,-97637000.0
Minority Interests,-205000.0,-492000.0,-140000.0
Net Income Including Noncontrolling Interests,19658000.0,20219000.0,-97497000.0
Net Income Discontinuous Operations,0.0,0.0,-424000.0
Net Income Continuous Operations,19658000.0,20219000.0,-97073000.0
Tax Provision,10296000.0,15891000.0,5896000.0
Pretax Income,29954000.0,36110000.0,-91177000.0
Other Income Expense,722000.0,5595000.0,-134405000.0
Other Non Operating Income Expenses,1707000.0,1324000.0,900000.0
Special Income Charges,-1595000.0,3675000.0,-135772000.0
Gain On Sale Of Ppe,1068000.0,427000.0,1254000.0
Gain On Sale Of Business,0.0,1012000.0,0.0
Other Special Charges,-669000.0,-2236000.0,4447000.0
Write Off,0.0,0.0,132579000.0
Impairment Of Capital Assets,,,122200000.0
Restructuring And Mergern Acquisition,3332000.0,0.0,0.0
Earnings From Equity Interest,294000.0,62000.0,125000.0
Gain On Sale Of Security,316000.0,534000.0,342000.0
Net Non Operating Interest Income Expense,-11570000.0,-9152000.0,-14372000.0
Interest Expense Non Operating,11570000.0,9152000.0,14372000.0
Operating Income,40802000.0,39667000.0,57600000.0
Operating Expense,38117000.0,44173000.0,34033000.0
Other Operating Expenses,,,3943000.0
Selling General And Administration,38117000.0,44173000.0,34033000.0
General And Administrative Expense,38117000.0,44173000.0,34033000.0
Other Gand A,38117000.0,44173000.0,34033000.0
Salaries And Wages,,,0.0
Gross Profit,78919000.0,83840000.0,91633000.0
Cost Of Revenue,410816000.0,386412000.0,395634000.0
Total Revenue,489735000.0,470252000.0,487267000.0
Operating Revenue,489735000.0,470252000.0,487267000.0
