,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,166610199.0,178753125.0,183385111.0,157952213.0
Share Issued,166610199.0,178753125.0,183385111.0,157952213.0
Net Debt,103216000.0,174770000.0,102454000.0,36797000.0
Total Debt,405309000.0,348918000.0,243635000.0,211584000.0
Tangible Book Value,1841408000.0,1495017000.0,1213242000.0,1150637000.0
Invested Capital,1981408000.0,1713463000.0,1335694000.0,1256412000.0
Working Capital,314830000.0,307176000.0,61130000.0,210987000.0
Net Tangible Assets,1841408000.0,1495017000.0,1213242000.0,1150637000.0
Capital Lease Obligations,265309000.0,130472000.0,121183000.0,105809000.0
Common Stock Equity,1841408000.0,1495017000.0,1213242000.0,1150637000.0
Total Capitalization,1981408000.0,1712443000.0,1334687000.0,1256048000.0
Total Equity Gross Minority Interest,1841408000.0,1497306000.0,1230439000.0,1310043000.0
Minority Interest,0.0,2289000.0,17197000.0,159406000.0
Stockholders Equity,1841408000.0,1495017000.0,1213242000.0,1150637000.0
Gains Losses Not Affecting Retained Earnings,-6084000.0,-7396000.0,-306000.0,0.0
Other Equity Adjustments,-6084000.0,-7396000.0,-306000.0,
Retained Earnings,752328000.0,234525000.0,-155954000.0,23288000.0
Additional Paid In Capital,1093498000.0,1266097000.0,1367642000.0,1125554000.0
Capital Stock,1666000.0,1791000.0,1860000.0,1795000.0
Common Stock,1666000.0,1791000.0,1860000.0,1795000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1192149000.0,1078626000.0,810221000.0,579899000.0
Total Non Current Liabilities Net Minority Interest,552725000.0,429129000.0,240974000.0,223753000.0
Tradeand Other Payables Non Current,112471000.0,118874000.0,37555000.0,56594000.0
Non Current Deferred Liabilities,102340000.0,1044000.0,563000.0,0.0
Non Current Deferred Taxes Liabilities,102340000.0,1044000.0,563000.0,0.0
Long Term Debt And Capital Lease Obligation,337914000.0,309211000.0,202856000.0,167159000.0
Long Term Capital Lease Obligation,197914000.0,91785000.0,81411000.0,61748000.0
Long Term Debt,140000000.0,217426000.0,121445000.0,105411000.0
Current Liabilities,639424000.0,649497000.0,569247000.0,356146000.0
Current Deferred Liabilities,,3859000.0,4552000.0,0.0
Current Deferred Revenue,,3859000.0,4552000.0,0.0
Current Debt And Capital Lease Obligation,67395000.0,39707000.0,40779000.0,44425000.0
Current Capital Lease Obligation,67395000.0,38687000.0,39772000.0,44061000.0
Current Debt,,1020000.0,1007000.0,364000.0
Other Current Borrowings,,1020000.0,1007000.0,364000.0
Payables And Accrued Expenses,572029000.0,609790000.0,523916000.0,311721000.0
Current Accrued Expenses,261066000.0,280678000.0,235115000.0,118383000.0
Interest Payable,,,,28241000.0
Payables,310963000.0,329112000.0,288801000.0,193338000.0
Other Payable,5170000.0,,,
Total Tax Payable,17230000.0,2294000.0,,
Income Tax Payable,12060000.0,2294000.0,,
Accounts Payable,293733000.0,326818000.0,288801000.0,193338000.0
Total Assets,3033557000.0,2575932000.0,2040660000.0,1889942000.0
Total Non Current Assets,2079303000.0,1619259000.0,1410283000.0,1322809000.0
Other Non Current Assets,158976000.0,105300000.0,82289000.0,81888000.0
Non Current Deferred Assets,0.0,12592000.0,607000.0,5360000.0
Non Current Deferred Taxes Assets,0.0,12592000.0,607000.0,5360000.0
Net PPE,1920327000.0,1501367000.0,1327387000.0,1235561000.0
Accumulated Depreciation,-1501685000.0,-1141656000.0,-863194000.0,-622530000.0
Gross PPE,3422012000.0,2643023000.0,2190581000.0,1858091000.0
Construction In Progress,156594000.0,158518000.0,89601000.0,153718000.0
Other Properties,2934076000.0,2170938000.0,1772290000.0,1443337000.0
Machinery Furniture Equipment,75259000.0,72187000.0,69500000.0,66581000.0
Buildings And Improvements,149876000.0,135281000.0,148555000.0,156109000.0
Land And Improvements,29384000.0,29276000.0,33812000.0,38346000.0
Properties,76823000.0,76823000.0,76823000.0,0.0
Current Assets,954254000.0,956673000.0,630377000.0,567133000.0
Other Current Assets,124135000.0,112531000.0,68332000.0,
Prepaid Assets,,,68332000.0,40930000.0
Inventory,205865000.0,214454000.0,134593000.0,118568000.0
Other Inventories,171845000.0,150712000.0,93184000.0,88476000.0
Raw Materials,34020000.0,63742000.0,41409000.0,30092000.0
Receivables,587470000.0,586012000.0,407454000.0,338657000.0
Other Receivables,188940000.0,175704000.0,108923000.0,69516000.0
Duefrom Related Parties Current,17345000.0,0.0,0.0,24708000.0
Accounts Receivable,381185000.0,410308000.0,298531000.0,244433000.0
Allowance For Doubtful Accounts Receivable,-939000.0,-884000.0,-884000.0,-773000.0
Gross Accounts Receivable,382124000.0,411192000.0,299415000.0,245206000.0
Cash Cash Equivalents And Short Term Investments,36784000.0,43676000.0,19998000.0,68978000.0
Cash And Cash Equivalents,36784000.0,43676000.0,19998000.0,68978000.0
