,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,411285000.0,71044000.0,-76433000.0,-18212000.0
Repurchase Of Capital Stock,-203100000.0,-125313000.0,0.0,0.0
Repayment Of Debt,-1250108000.0,-624697000.0,-265113000.0,-13413000.0
Issuance Of Debt,1153000000.0,713000000.0,274000000.0,0.0
Issuance Of Capital Stock,,,,0.0
Capital Expenditure,-603298000.0,-459320000.0,-211900000.0,-103637000.0
Interest Paid Supplemental Data,26651000.0,20310000.0,13268000.0,11218000.0
Income Tax Paid Supplemental Data,66685000.0,10744000.0,,
End Cash Position,36784000.0,43676000.0,19998000.0,68978000.0
Beginning Cash Position,43676000.0,19998000.0,68978000.0,112690000.0
Effect Of Exchange Rate Changes,168000.0,-260000.0,-9000.0,0.0
Changes In Cash,-7060000.0,23938000.0,-48971000.0,-43712000.0
Financing Cash Flow,-349315000.0,-55770000.0,2056000.0,-28868000.0
Cash Flow From Continuing Financing Activities,-349315000.0,-55770000.0,2056000.0,-28868000.0
Net Other Financing Charges,-11423000.0,-9596000.0,-6663000.0,-11024000.0
Cash Dividends Paid,-37684000.0,-9164000.0,-168000.0,-4431000.0
Common Stock Dividend Paid,-37684000.0,-9164000.0,-168000.0,-4431000.0
Net Common Stock Issuance,-203100000.0,-125313000.0,0.0,0.0
Common Stock Payments,-203100000.0,-125313000.0,0.0,0.0
Common Stock Issuance,,,,0.0
Net Issuance Payments Of Debt,-97108000.0,88303000.0,8887000.0,-13413000.0
Net Short Term Debt Issuance,25000000.0,97000000.0,18000000.0,0.0
Short Term Debt Payments,-1128000000.0,-616000000.0,-256000000.0,0.0
Short Term Debt Issuance,1153000000.0,713000000.0,274000000.0,0.0
Net Long Term Debt Issuance,-122108000.0,-8697000.0,-9113000.0,-13413000.0
Long Term Debt Payments,-122108000.0,-8697000.0,-9113000.0,-13413000.0
Long Term Debt Issuance,,,274000000.0,0.0
Investing Cash Flow,-672328000.0,-450656000.0,-186494000.0,-100269000.0
Cash Flow From Continuing Investing Activities,-672328000.0,-450656000.0,-186494000.0,-100269000.0
Net Other Investing Changes,26909000.0,23664000.0,25406000.0,3368000.0
Net Investment Purchase And Sale,,,-13106000.0,0.0
Purchase Of Investment,,,-13106000.0,0.0
Net Business Purchase And Sale,-95939000.0,-15000000.0,0.0,0.0
Purchase Of Business,-95939000.0,-15000000.0,0.0,0.0
Net PPE Purchase And Sale,-603298000.0,-459320000.0,-211900000.0,-103637000.0
Purchase Of PPE,-603298000.0,-459320000.0,-211900000.0,-103637000.0
Capital Expenditure Reported,,,,-103637000.0
Operating Cash Flow,1014583000.0,530364000.0,135467000.0,85425000.0
Cash Flow From Continuing Operating Activities,1014583000.0,530364000.0,135467000.0,85425000.0
Change In Working Capital,-111672000.0,-277938000.0,46909000.0,63321000.0
Change In Other Working Capital,,-593000.0,3452000.0,
Change In Other Current Assets,-66182000.0,-56161000.0,-30955000.0,13780000.0
Change In Payables And Accrued Expense,-45133000.0,55339000.0,167910000.0,-15282000.0
Change In Payable,,,164458000.0,-15282000.0
Change In Account Payable,,,164458000.0,-15282000.0
Change In Prepaid Assets,0.0,0.0,24708000.0,0.0
Change In Inventory,-114000.0,-84989000.0,-24612000.0,2137000.0
Change In Receivables,-243000.0,-192127000.0,-90142000.0,62686000.0
Changes In Account Receivables,-243000.0,-192127000.0,-90142000.0,62686000.0
Other Non Cash Items,3806000.0,2748000.0,6040000.0,5005000.0
Stock Based Compensation,33026000.0,23108000.0,19946000.0,17139000.0
Provisionand Write Offof Assets,,0.0,745000.0,4877000.0
Asset Impairment Charge,,1724000.0,0.0,1087000.0
Deferred Tax,118495000.0,63719000.0,-13960000.0,-25003000.0
Deferred Income Tax,118495000.0,63719000.0,-13960000.0,-25003000.0
Depreciation Amortization Depletion,421514000.0,323028000.0,262757000.0,180084000.0
Depreciation And Amortization,,,,180084000.0
Operating Gains Losses,-6994000.0,-4603000.0,779000.0,-411000.0
Gain Loss On Sale Of PPE,-6994000.0,-4603000.0,779000.0,-411000.0
Net Income From Continuing Operations,556408000.0,400302000.0,-187004000.0,-160674000.0
