,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1200663.0,271110.0,-4297590.0,-3324650.0
Tax Rate For Calcs,0.243,0.21,0.27,0.161
Normalized EBITDA,1180956000.0,743961000.0,116489000.0,23971000.0
Total Unusual Items,4941000.0,1291000.0,-15917000.0,-20650000.0
Total Unusual Items Excluding Goodwill,4941000.0,1291000.0,-15917000.0,-20650000.0
Net Income From Continuing Operation Net Minority Interest,556317000.0,399602000.0,-179244000.0,-115583000.0
Reconciled Depreciation,421514000.0,323028000.0,262757000.0,180084000.0
Reconciled Cost Of Revenue,3770884000.0,3472064000.0,2512683000.0,1038065000.0
EBITDA,1185897000.0,745252000.0,100572000.0,3321000.0
EBIT,764383000.0,422224000.0,-162185000.0,-176763000.0
Net Interest Income,-27506000.0,-22715000.0,-15603000.0,-14505000.0
Interest Expense,29493000.0,22715000.0,15603000.0,14768000.0
Interest Income,1987000.0,0.0,0.0,263000.0
Normalized Income,552576663.0,398582110.0,-167624590.0,-98257650.0
Net Income From Continuing And Discontinued Operation,556317000.0,399602000.0,-179244000.0,-115583000.0
Total Expenses,3992290000.0,3652104000.0,2636089000.0,1122163000.0
Total Operating Income As Reported,760579000.0,495890000.0,-181224000.0,-177026000.0
Diluted Average Shares,,189349000.0,174019000.0,85242000.0
Basic Average Shares,,184334000.0,174019000.0,85242000.0
Diluted EPS,,2.11,-1.03,-1.36
Basic EPS,,2.17,-1.03,-1.36
Diluted NI Availto Com Stockholders,556390000.0,400318000.0,-179244000.0,-115583000.0
Average Dilution Earnings,73000.0,716000.0,0.0,
Net Income Common Stockholders,556317000.0,399602000.0,-179244000.0,-115583000.0
Net Income,556317000.0,399602000.0,-179244000.0,-115583000.0
Minority Interests,-91000.0,-700000.0,7760000.0,45091000.0
Net Income Including Noncontrolling Interests,556408000.0,400302000.0,-187004000.0,-160674000.0
Net Income From Tax Loss Carryforward,,,,0.0
Net Income Continuous Operations,556408000.0,400302000.0,-187004000.0,-160674000.0
Tax Provision,178482000.0,-793000.0,9216000.0,-30857000.0
Pretax Income,734890000.0,399509000.0,-177788000.0,-191531000.0
Other Income Expense,6758000.0,-74900000.0,3122000.0,-20650000.0
Other Non Operating Income Expenses,1817000.0,-76191000.0,19039000.0,
Special Income Charges,4941000.0,-1234000.0,-15917000.0,-20650000.0
Gain On Sale Of Ppe,6994000.0,4603000.0,-779000.0,411000.0
Restructuring And Mergern Acquisition,2053000.0,5837000.0,15138000.0,21061000.0
Gain On Sale Of Security,,2525000.0,,
Net Non Operating Interest Income Expense,-27506000.0,-22715000.0,-15603000.0,-14505000.0
Interest Expense Non Operating,29493000.0,22715000.0,15603000.0,14768000.0
Interest Income Non Operating,1987000.0,0.0,0.0,263000.0
Operating Income,755638000.0,497124000.0,-165307000.0,-156376000.0
Operating Expense,221406000.0,180040000.0,123406000.0,84098000.0
Selling General And Administration,221406000.0,180040000.0,123406000.0,84098000.0
General And Administrative Expense,221406000.0,180040000.0,123406000.0,84098000.0
Other Gand A,221406000.0,180040000.0,123406000.0,84098000.0
Gross Profit,977044000.0,677164000.0,-41901000.0,-72278000.0
Cost Of Revenue,3770884000.0,3472064000.0,2512683000.0,1038065000.0
Total Revenue,4747928000.0,4149228000.0,2470782000.0,965787000.0
Operating Revenue,4747928000.0,4149228000.0,2470782000.0,965787000.0
