,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,88758722.0,84128995.0,83402322.0
Ordinary Shares Number,417283463.0,213567131.0,215139972.0,187626366.0
Share Issued,417283463.0,302325853.0,299268967.0,271028688.0
Net Debt,1047059000.0,693384000.0,734799000.0,676569000.0
Total Debt,1345489000.0,855654000.0,877322000.0,927698000.0
Tangible Book Value,2380854000.0,1659678000.0,1601950000.0,1985972000.0
Invested Capital,6049459000.0,2496460000.0,2461810000.0,2917543000.0
Working Capital,435263000.0,278453000.0,147800000.0,204234000.0
Net Tangible Assets,2380854000.0,1659678000.0,1601950000.0,1985972000.0
Capital Lease Obligations,108322000.0,24717000.0,24999000.0,26214000.0
Common Stock Equity,4812292000.0,1665523000.0,1609487000.0,2016059000.0
Total Capitalization,6037233000.0,2496460000.0,2461810000.0,2917543000.0
Total Equity Gross Minority Interest,4820681000.0,1665523000.0,1609487000.0,2016059000.0
Minority Interest,8389000.0,0.0,,
Stockholders Equity,4812292000.0,1665523000.0,1609487000.0,2016059000.0
Gains Losses Not Affecting Retained Earnings,472000.0,0.0,5915000.0,5412000.0
Other Equity Adjustments,472000.0,,5915000.0,5412000.0
Treasury Stock,1657675000.0,1453079000.0,1372641000.0,1366313000.0
Retained Earnings,57035000.0,-87394000.0,-198316000.0,472014000.0
Additional Paid In Capital,6407294000.0,3202973000.0,3171536000.0,2902236000.0
Capital Stock,5166000.0,3023000.0,2993000.0,2710000.0
Common Stock,5166000.0,3023000.0,2993000.0,2710000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2599350000.0,1478300000.0,1348361000.0,1283010000.0
Total Non Current Liabilities Net Minority Interest,1548915000.0,927334000.0,912508000.0,1009288000.0
Other Non Current Liabilities,25066000.0,48065000.0,12843000.0,11010000.0
Non Current Deferred Liabilities,248107000.0,28738000.0,29234000.0,77676000.0
Non Current Deferred Taxes Liabilities,248107000.0,28738000.0,29234000.0,77676000.0
Long Term Debt And Capital Lease Obligation,1275742000.0,850531000.0,870431000.0,920602000.0
Long Term Capital Lease Obligation,50801000.0,19594000.0,18108000.0,19118000.0
Long Term Debt,1224941000.0,830937000.0,852323000.0,901484000.0
Current Liabilities,1050435000.0,550966000.0,435853000.0,273722000.0
Current Deferred Liabilities,98914000.0,110215000.0,60282000.0,599000.0
Current Deferred Revenue,98914000.0,110215000.0,60282000.0,599000.0
Current Debt And Capital Lease Obligation,69747000.0,5123000.0,6891000.0,7096000.0
Current Capital Lease Obligation,57521000.0,5123000.0,6891000.0,7096000.0
Current Debt,12226000.0,,,
Other Current Borrowings,12226000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,67396000.0,67853000.0,67921000.0,70847000.0
Payables And Accrued Expenses,814378000.0,367775000.0,300759000.0,195180000.0
Current Accrued Expenses,214327000.0,115956000.0,100635000.0,93491000.0
Interest Payable,19172000.0,10522000.0,11226000.0,11325000.0
Payables,600051000.0,251819000.0,200124000.0,101689000.0
Total Tax Payable,65631000.0,14763000.0,9905000.0,10666000.0
Income Tax Payable,3437000.0,4644000.0,232000.0,0.0
Accounts Payable,534420000.0,237056000.0,190219000.0,91023000.0
Total Assets,7420031000.0,3143823000.0,2957848000.0,3299069000.0
Total Non Current Assets,5934333000.0,2314404000.0,2374195000.0,2821113000.0
Other Non Current Assets,19424000.0,10881000.0,11055000.0,11419000.0
Non Current Prepaid Assets,,,,1716000.0
Non Current Deferred Assets,3927000.0,3210000.0,3975000.0,0.0
Non Current Deferred Taxes Assets,3927000.0,3210000.0,3975000.0,0.0
Goodwill And Other Intangible Assets,2431438000.0,5845000.0,7537000.0,30087000.0
Other Intangible Assets,1051697000.0,5845000.0,7537000.0,30087000.0
Goodwill,1379741000.0,0.0,,0.0
Net PPE,3479544000.0,2294468000.0,2351628000.0,2779607000.0
Accumulated Depreciation,-5811809000.0,-5725501000.0,-5846591000.0,-5328432000.0
Gross PPE,9291353000.0,8019969000.0,8198219000.0,8108039000.0
Construction In Progress,28305000.0,13051000.0,849000.0,1716000.0
Other Properties,8737207000.0,7571940000.0,7761125000.0,7887039000.0
Machinery Furniture Equipment,,,7742101000.0,7647451000.0
Buildings And Improvements,248693000.0,175212000.0,182280000.0,193503000.0
Land And Improvements,38811000.0,23610000.0,24562000.0,25781000.0
Properties,238337000.0,236156000.0,229403000.0,0.0
Current Assets,1485698000.0,829419000.0,583653000.0,477956000.0
Other Current Assets,36773000.0,3064000.0,67620000.0,55314000.0
Restricted Cash,2572000.0,0.0,,
Prepaid Assets,46394000.0,11960000.0,,
Inventory,180805000.0,65377000.0,42359000.0,33085000.0
Finished Goods,32057000.0,28000.0,515000.0,600000.0
Work In Process,7437000.0,2341000.0,882000.0,802000.0
Raw Materials,141311000.0,63008000.0,40962000.0,31683000.0
Receivables,1029046000.0,611465000.0,356150000.0,164642000.0
Other Receivables,31006000.0,34632000.0,,
Taxes Receivable,26949000.0,11313000.0,67000.0,4428000.0
Accounts Receivable,971091000.0,565520000.0,356083000.0,160214000.0
Allowance For Doubtful Accounts Receivable,-3490000.0,-2875000.0,-8493000.0,-10842000.0
Gross Accounts Receivable,974581000.0,568395000.0,364576000.0,171056000.0
Cash Cash Equivalents And Short Term Investments,190108000.0,137553000.0,117524000.0,224915000.0
Cash And Cash Equivalents,190108000.0,137553000.0,117524000.0,224915000.0
