,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,390224000.0,129391000.0,-70824000.0,133377000.0
Repurchase Of Capital Stock,-200710000.0,-70070000.0,-6328000.0,-21179000.0
Repayment Of Debt,-443752000.0,-169760000.0,-50000000.0,-62525000.0
Issuance Of Debt,816412000.0,150000000.0,0.0,0.0
Capital Expenditure,-615690000.0,-436797000.0,-166320000.0,-145481000.0
Interest Paid Supplemental Data,39607000.0,39855000.0,40464000.0,43368000.0
Income Tax Paid Supplemental Data,27169000.0,1526000.0,,
End Cash Position,192680000.0,137553000.0,117524000.0,224915000.0
Beginning Cash Position,137553000.0,117524000.0,224915000.0,174185000.0
Effect Of Exchange Rate Changes,1236000.0,449000.0,640000.0,-2000.0
Changes In Cash,53891000.0,19580000.0,-108031000.0,50732000.0
Financing Cash Flow,65567000.0,-133381000.0,-71933000.0,-103150000.0
Cash Flow From Continuing Financing Activities,65567000.0,-133381000.0,-71933000.0,-103150000.0
Net Other Financing Charges,-6349000.0,-455000.0,,-584000.0
Proceeds From Stock Option Exercised,,,,0.0
Cash Dividends Paid,-100034000.0,-43096000.0,-15605000.0,-18862000.0
Common Stock Dividend Paid,-100034000.0,-43096000.0,-15605000.0,-18862000.0
Net Common Stock Issuance,-200710000.0,-70070000.0,-6328000.0,-21179000.0
Common Stock Payments,-200710000.0,-70070000.0,-6328000.0,-21179000.0
Net Issuance Payments Of Debt,372660000.0,-19760000.0,-50000000.0,-62525000.0
Net Short Term Debt Issuance,,0.0,0.0,0.0
Short Term Debt Payments,,-150000000.0,0.0,0.0
Short Term Debt Issuance,,150000000.0,0.0,0.0
Net Long Term Debt Issuance,372660000.0,-19760000.0,-50000000.0,-62525000.0
Long Term Debt Payments,-443752000.0,-169760000.0,-50000000.0,-62525000.0
Long Term Debt Issuance,816412000.0,150000000.0,0.0,0.0
Investing Cash Flow,-1017590000.0,-413227000.0,-131594000.0,-124976000.0
Cash From Discontinued Investing Activities,0.0,0.0,41267000.0,0.0
Cash Flow From Continuing Investing Activities,-1017590000.0,-413227000.0,-172861000.0,-124976000.0
Net Other Investing Changes,20599000.0,23570000.0,22817000.0,20505000.0
Net Business Purchase And Sale,-422499000.0,0.0,-29358000.0,0.0
Purchase Of Business,-422499000.0,0.0,-29358000.0,0.0
Net PPE Purchase And Sale,-615690000.0,-436797000.0,-166320000.0,-145481000.0
Purchase Of PPE,-615690000.0,-436797000.0,-166320000.0,-145481000.0
Operating Cash Flow,1005914000.0,566188000.0,95496000.0,278858000.0
Cash From Discontinued Operating Activities,0.0,0.0,-516000.0,0.0
Cash Flow From Continuing Operating Activities,1005914000.0,566188000.0,96012000.0,278858000.0
Change In Working Capital,-67219000.0,-86930000.0,-55290000.0,84061000.0
Change In Other Working Capital,,4171000.0,4516000.0,1635000.0
Change In Other Current Liabilities,-42083000.0,30416000.0,-5940000.0,-10786000.0
Change In Other Current Assets,14326000.0,8668000.0,1134000.0,
Change In Payables And Accrued Expense,-93213000.0,106366000.0,99481000.0,-107842000.0
Change In Accrued Expense,-23484000.0,67380000.0,48540000.0,-61266000.0
Change In Payable,-69729000.0,38986000.0,50941000.0,-46576000.0
Change In Account Payable,-69729000.0,38986000.0,50941000.0,-46576000.0
Change In Inventory,-30793000.0,-23154000.0,-2609000.0,27192000.0
Change In Receivables,84544000.0,-209226000.0,-147356000.0,173862000.0
Changes In Account Receivables,84544000.0,-209226000.0,-147356000.0,173862000.0
Other Non Cash Items,59000.0,954000.0,-483000.0,23092000.0
Stock Based Compensation,46750000.0,21099000.0,21558000.0,26572000.0
Asset Impairment Charge,,0.0,-1500000.0,409873000.0
Deferred Tax,51866000.0,6998000.0,-62980000.0,-125283000.0
Deferred Income Tax,51866000.0,6998000.0,-62980000.0,-125283000.0
Depreciation Amortization Depletion,731416000.0,483945000.0,849178000.0,670910000.0
Depletion,7223000.0,8085000.0,5573000.0,6686000.0
Depreciation And Amortization,724193000.0,475860000.0,849178000.0,664224000.0
Amortization Cash Flow,41521000.0,2891000.0,24606000.0,19281000.0
Amortization Of Intangibles,41521000.0,2891000.0,24606000.0,19281000.0
Depreciation,682672000.0,472969000.0,849178000.0,644943000.0
Operating Gains Losses,-2910000.0,-14536000.0,-1426000.0,-6675000.0
Net Income From Continuing Operations,245952000.0,154658000.0,-654545000.0,-803692000.0
