,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-19697218.818381,-162747.232846,-918720.0,-59375526.0
Tax Rate For Calcs,0.199125,0.07866,0.087,0.137
Normalized EBITDA,1190309000.0,694132000.0,181935000.0,214060000.0
Total Unusual Items,-98919000.0,-2069000.0,-10560000.0,-433398000.0
Total Unusual Items Excluding Goodwill,-98919000.0,-2069000.0,-10560000.0,-433398000.0
Net Income From Continuing Operation Net Minority Interest,246292000.0,154658000.0,-657079000.0,-803692000.0
Reconciled Depreciation,731416000.0,483945000.0,849178000.0,670910000.0
Reconciled Cost Of Revenue,3542735000.0,2330495000.0,1931126000.0,1472833000.0
EBITDA,1091390000.0,692063000.0,171375000.0,-219338000.0
EBIT,359974000.0,208118000.0,-677803000.0,-890248000.0
Net Interest Income,-46748000.0,-39896000.0,-41756000.0,-39516000.0
Interest Expense,52870000.0,40256000.0,41978000.0,40770000.0
Interest Income,6122000.0,360000.0,222000.0,1254000.0
Normalized Income,325513781.181619,156564252.767154,-647437720.0,-429669526.0
Net Income From Continuing And Discontinued Operation,246292000.0,154658000.0,-654545000.0,-803692000.0
Total Expenses,3695583000.0,2434492000.0,2024271000.0,1583109000.0
Total Operating Income As Reported,351954000.0,211031000.0,-677750000.0,-892258000.0
Diluted Average Shares,280061000.0,219496000.0,195021000.0,188013000.0
Basic Average Shares,279501000.0,215935000.0,195021000.0,188013000.0
Diluted EPS,0.88,0.7,-3.36,-4.27
Basic EPS,0.88,0.72,-3.36,-4.27
Diluted NI Availto Com Stockholders,246292000.0,154658000.0,-654545000.0,-803692000.0
Net Income Common Stockholders,246292000.0,154658000.0,-654545000.0,-803692000.0
Net Income,246292000.0,154658000.0,-654545000.0,-803692000.0
Minority Interests,340000.0,0.0,0.0,
Net Income Including Noncontrolling Interests,245952000.0,154658000.0,-654545000.0,-803692000.0
Net Income Discontinuous Operations,0.0,0.0,2534000.0,0.0
Net Income Continuous Operations,245952000.0,154658000.0,-657079000.0,-803692000.0
Tax Provision,61152000.0,13204000.0,-62702000.0,-127326000.0
Pretax Income,307104000.0,167862000.0,-719781000.0,-931018000.0
Other Income Expense,-97021000.0,-5342000.0,-10835000.0,-432642000.0
Other Non Operating Income Expenses,1898000.0,-3273000.0,-275000.0,756000.0
Special Income Charges,-98919000.0,-2069000.0,-10560000.0,-433398000.0
Write Off,842000.0,0.0,-1500000.0,5606000.0
Impairment Of Capital Assets,,0.0,0.0,395060000.0
Restructuring And Mergern Acquisition,98077000.0,2069000.0,12060000.0,38338000.0
Net Non Operating Interest Income Expense,-46748000.0,-39896000.0,-41756000.0,-39516000.0
Interest Expense Non Operating,52870000.0,40256000.0,41978000.0,40770000.0
Interest Income Non Operating,6122000.0,360000.0,222000.0,1254000.0
Operating Income,450873000.0,213100000.0,-667190000.0,-458860000.0
Operating Expense,152848000.0,103997000.0,93145000.0,110276000.0
Other Operating Expenses,-17114000.0,-12592000.0,763000.0,7059000.0
Provision For Doubtful Accounts,,0.0,-1500000.0,5606000.0
Selling General And Administration,169962000.0,116589000.0,92382000.0,97611000.0
General And Administrative Expense,169962000.0,116589000.0,92382000.0,97611000.0
Other Gand A,169962000.0,116589000.0,92382000.0,97611000.0
Gross Profit,603721000.0,317097000.0,-574045000.0,-348584000.0
Cost Of Revenue,3542735000.0,2330495000.0,1931126000.0,1472833000.0
Total Revenue,4146456000.0,2647592000.0,1357081000.0,1124249000.0
Operating Revenue,4071878000.0,2567233000.0,1307974000.0,1078593000.0
