,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,109483281.0,114515008.0,103437177.0,100912777.0
Share Issued,109483281.0,114515008.0,103437177.0,100912777.0
Net Debt,11646000.0,,,
Total Debt,148578000.0,33162000.0,466000.0,799000.0
Tangible Book Value,924153000.0,874064000.0,826302000.0,870771000.0
Invested Capital,1043392000.0,984033000.0,826302000.0,870771000.0
Working Capital,39660000.0,44605000.0,77279000.0,63563000.0
Net Tangible Assets,924153000.0,874064000.0,826302000.0,870771000.0
Capital Lease Obligations,103578000.0,3162000.0,466000.0,799000.0
Common Stock Equity,998392000.0,954033000.0,826302000.0,870771000.0
Total Capitalization,1043392000.0,984033000.0,826302000.0,870771000.0
Total Equity Gross Minority Interest,998392000.0,954033000.0,826302000.0,870771000.0
Stockholders Equity,998392000.0,954033000.0,826302000.0,870771000.0
Retained Earnings,69034000.0,-16600000.0,-18630000.0,35555000.0
Additional Paid In Capital,929249000.0,970519000.0,844829000.0,835115000.0
Capital Stock,109000.0,114000.0,103000.0,101000.0
Common Stock,109000.0,114000.0,103000.0,101000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,481920000.0,381753000.0,234934000.0,179968000.0
Total Non Current Liabilities Net Minority Interest,210771000.0,97573000.0,61149000.0,75805000.0
Other Non Current Liabilities,3180000.0,,,
Non Current Deferred Liabilities,93105000.0,65265000.0,61052000.0,75340000.0
Non Current Deferred Taxes Liabilities,93105000.0,65265000.0,61052000.0,75340000.0
Long Term Debt And Capital Lease Obligation,114486000.0,32308000.0,97000.0,465000.0
Long Term Capital Lease Obligation,69486000.0,2308000.0,97000.0,465000.0
Long Term Debt,45000000.0,30000000.0,,
Current Liabilities,271149000.0,284180000.0,173785000.0,104163000.0
Current Deferred Liabilities,19190000.0,10000000.0,0.0,
Current Deferred Revenue,19190000.0,10000000.0,0.0,
Current Debt And Capital Lease Obligation,34092000.0,854000.0,369000.0,334000.0
Current Capital Lease Obligation,34092000.0,854000.0,369000.0,334000.0
Payables And Accrued Expenses,217867000.0,273326000.0,173416000.0,103829000.0
Current Accrued Expenses,15506000.0,14654000.0,6816000.0,11193000.0
Interest Payable,,,,0.0
Payables,202361000.0,258672000.0,166600000.0,92636000.0
Total Tax Payable,40920000.0,24373000.0,13951000.0,13483000.0
Accounts Payable,161441000.0,234299000.0,152649000.0,79153000.0
Total Assets,1480312000.0,1335786000.0,1061236000.0,1050739000.0
Total Non Current Assets,1169503000.0,1007001000.0,810172000.0,883013000.0
Other Non Current Assets,2116000.0,1150000.0,1269000.0,1827000.0
Goodwill And Other Intangible Assets,74239000.0,79969000.0,0.0,0.0
Other Intangible Assets,50615000.0,56345000.0,,
Goodwill,23624000.0,23624000.0,0.0,0.0
Net PPE,1093148000.0,925882000.0,808903000.0,881186000.0
Accumulated Depreciation,-644120000.0,-529656000.0,-488725000.0,-410119000.0
Gross PPE,1737268000.0,1455538000.0,1297628000.0,1291305000.0
Leases,8011000.0,8573000.0,8159000.0,8035000.0
Other Properties,126032000.0,3147000.0,409000.0,709000.0
Machinery Furniture Equipment,1551261000.0,1397727000.0,1248464000.0,1242698000.0
Buildings And Improvements,37888000.0,34298000.0,30045000.0,29312000.0
Land And Improvements,14076000.0,11793000.0,10551000.0,10551000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,310809000.0,328785000.0,251064000.0,167726000.0
Other Current Assets,353000.0,38000.0,297000.0,782000.0
Prepaid Assets,14640000.0,8643000.0,6752000.0,11199000.0
Inventory,17705000.0,5034000.0,3949000.0,2729000.0
Receivables,237012000.0,215925000.0,128148000.0,84244000.0
Accounts Receivable,237012000.0,215925000.0,128148000.0,84244000.0
Allowance For Doubtful Accounts Receivable,-236000.0,-419000.0,-217000.0,-1497000.0
Gross Accounts Receivable,237248000.0,216344000.0,128365000.0,85741000.0
Cash Cash Equivalents And Short Term Investments,41099000.0,99145000.0,111918000.0,68772000.0
Other Short Term Investments,7745000.0,10283000.0,0.0,
Cash And Cash Equivalents,33354000.0,88862000.0,111918000.0,68772000.0
