,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3873000.0,-19254000.0,11191000.0,38521000.0
Repurchase Of Capital Stock,-51738000.0,0.0,0.0,
Repayment Of Debt,-19663000.0,0.0,0.0,-130030000.0
Issuance Of Debt,30000000.0,30000000.0,0.0,0.0
Capital Expenditure,-370869000.0,-319683000.0,-143523000.0,-100603000.0
Interest Paid Supplemental Data,4564000.0,467000.0,72000.0,
Income Tax Paid Supplemental Data,1110000.0,129000.0,196000.0,
End Cash Position,33354000.0,88862000.0,111918000.0,68772000.0
Beginning Cash Position,88862000.0,111918000.0,68772000.0,149036000.0
Changes In Cash,-55508000.0,-23056000.0,43146000.0,-80264000.0
Financing Cash Flow,-46123000.0,26260000.0,-7276000.0,-125171000.0
Cash Flow From Continuing Financing Activities,-46123000.0,26260000.0,-7276000.0,-125171000.0
Net Other Financing Charges,-4722000.0,-4703000.0,-11293000.0,4859000.0
Proceeds From Stock Option Exercised,0.0,963000.0,4017000.0,0.0
Net Common Stock Issuance,-51738000.0,0.0,0.0,
Common Stock Payments,-51738000.0,0.0,0.0,
Net Issuance Payments Of Debt,10337000.0,30000000.0,0.0,-130030000.0
Net Long Term Debt Issuance,10337000.0,30000000.0,0.0,-130030000.0
Long Term Debt Payments,-19663000.0,0.0,0.0,-130030000.0
Long Term Debt Issuance,30000000.0,30000000.0,0.0,0.0
Investing Cash Flow,-384127000.0,-349745000.0,-104292000.0,-94217000.0
Cash Flow From Continuing Investing Activities,-384127000.0,-349745000.0,-104292000.0,-94217000.0
Net Other Investing Changes,8957000.0,8577000.0,39231000.0,6386000.0
Net Business Purchase And Sale,-22215000.0,-38639000.0,0.0,
Purchase Of Business,-22215000.0,-38639000.0,0.0,
Capital Expenditure Reported,-370869000.0,-319683000.0,-143523000.0,-100603000.0
Operating Cash Flow,374742000.0,300429000.0,154714000.0,139124000.0
Cash Flow From Continuing Operating Activities,374742000.0,300429000.0,154714000.0,139124000.0
Change In Working Capital,-10014000.0,-15296000.0,12821000.0,14326000.0
Change In Other Current Assets,-831000.0,354000.0,310000.0,1978000.0
Change In Payables And Accrued Expense,15385000.0,50383000.0,53010000.0,-114618000.0
Change In Accrued Expense,26814000.0,22955000.0,1246000.0,-18921000.0
Change In Interest Payable,383000.0,353000.0,0.0,-394000.0
Change In Payable,-11429000.0,27428000.0,51764000.0,-95697000.0
Change In Account Payable,-11429000.0,27428000.0,51764000.0,-95697000.0
Change In Prepaid Assets,-6143000.0,743000.0,4463000.0,-232000.0
Change In Inventory,-6017000.0,124000.0,-1220000.0,-293000.0
Change In Receivables,-12408000.0,-66900000.0,-43742000.0,127491000.0
Changes In Account Receivables,-12408000.0,-66900000.0,-43742000.0,127491000.0
Other Non Cash Items,359000.0,-1883000.0,542000.0,543000.0
Stock Based Compensation,14450000.0,21881000.0,11519000.0,9100000.0
Unrealized Gain Loss On Investment Securities,2538000.0,1570000.0,0.0,
Provisionand Write Offof Assets,34000.0,202000.0,282000.0,448000.0
Asset Impairment Charge,0.0,57454000.0,0.0,38002000.0
Deferred Tax,27840000.0,4213000.0,-14288000.0,-27701000.0
Deferred Income Tax,27840000.0,4213000.0,-14288000.0,-27701000.0
Depreciation Amortization Depletion,180886000.0,128108000.0,133377000.0,153290000.0
Depreciation And Amortization,180886000.0,128108000.0,133377000.0,153290000.0
Operating Gains Losses,73015000.0,102150000.0,64646000.0,58136000.0
Net Income From Continuing Operations,85634000.0,2030000.0,-54185000.0,-107020000.0
