,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-18910885.0,-33516840.0,-13462524.540819,-19612152.0
Tax Rate For Calcs,0.259,0.21,0.20825,0.204
Normalized EBITDA,374711000.0,296703000.0,130200000.0,117311000.0
Total Unusual Items,-73015000.0,-159604000.0,-64646000.0,-96138000.0
Total Unusual Items Excluding Goodwill,-73015000.0,-159604000.0,-64646000.0,-96138000.0
Net Income From Continuing Operation Net Minority Interest,85634000.0,2030000.0,-54185000.0,-107020000.0
Reconciled Depreciation,180886000.0,128108000.0,133377000.0,153290000.0
Reconciled Cost Of Revenue,1312687000.0,1010928000.0,795643000.0,737569000.0
EBITDA,301696000.0,137099000.0,65554000.0,21173000.0
EBIT,120810000.0,8991000.0,-67823000.0,-132117000.0
Net Interest Income,-5308000.0,-1605000.0,-614000.0,-2383000.0
Interest Expense,5308000.0,1605000.0,614000.0,2383000.0
Normalized Income,139738115.0,128117160.0,-3001524.540819,-30494152.0
Net Income From Continuing And Discontinued Operation,85634000.0,2030000.0,-54185000.0,-107020000.0
Total Expenses,1427041000.0,1122688000.0,878564000.0,824337000.0
Total Operating Income As Reported,130343000.0,-2591000.0,-68696000.0,-131243000.0
Diluted Average Shares,113416000.0,106939000.0,102655000.0,100829000.0
Basic Average Shares,113004000.0,105868000.0,102655000.0,100829000.0
Diluted EPS,0.76,0.02,-0.53,-1.06
Basic EPS,0.76,0.02,-0.53,-1.06
Diluted NI Availto Com Stockholders,85634000.0,2030000.0,-54185000.0,-107020000.0
Net Income Common Stockholders,85634000.0,2030000.0,-54185000.0,-107020000.0
Net Income,85634000.0,2030000.0,-54185000.0,-107020000.0
Net Income Including Noncontrolling Interests,85634000.0,2030000.0,-54185000.0,-107020000.0
Net Income Continuous Operations,85634000.0,2030000.0,-54185000.0,-107020000.0
Tax Provision,29868000.0,5356000.0,-14252000.0,-27480000.0
Pretax Income,115502000.0,7386000.0,-68437000.0,-134500000.0
Other Income Expense,-82548000.0,-148022000.0,-63773000.0,-97012000.0
Other Non Operating Income Expenses,-9533000.0,11582000.0,873000.0,-874000.0
Special Income Charges,-73015000.0,-159604000.0,-64646000.0,-96138000.0
Gain On Sale Of Ppe,-73015000.0,-102150000.0,-64646000.0,-58136000.0
Impairment Of Capital Assets,0.0,57454000.0,0.0,38002000.0
Net Non Operating Interest Income Expense,-5308000.0,-1605000.0,-614000.0,-2383000.0
Interest Expense Non Operating,5308000.0,1605000.0,614000.0,2383000.0
Operating Income,203358000.0,157013000.0,-4050000.0,-35105000.0
Operating Expense,114354000.0,111760000.0,82921000.0,86768000.0
Selling General And Administration,114354000.0,111760000.0,82921000.0,86768000.0
General And Administrative Expense,114354000.0,111760000.0,82921000.0,86768000.0
Other Gand A,114354000.0,111760000.0,82921000.0,86768000.0
Gross Profit,317712000.0,268773000.0,78871000.0,51663000.0
Cost Of Revenue,1312687000.0,1010928000.0,795643000.0,737569000.0
Total Revenue,1630399000.0,1279701000.0,874514000.0,789232000.0
Operating Revenue,1630399000.0,1279701000.0,874514000.0,789232000.0
