,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,215026458.0,216609191.0,215628716.0,214951093.0
Share Issued,215026458.0,216609191.0,215628716.0,214951093.0
Total Debt,27161000.0,30245000.0,46300000.0,30282000.0
Tangible Book Value,958864000.0,824501000.0,609641000.0,599417000.0
Invested Capital,1022513000.0,857735000.0,641791000.0,631567000.0
Working Capital,575216000.0,524738000.0,361161000.0,348794000.0
Net Tangible Assets,958864000.0,824501000.0,609641000.0,599417000.0
Capital Lease Obligations,27161000.0,30245000.0,46300000.0,30282000.0
Common Stock Equity,1022513000.0,857735000.0,641791000.0,631567000.0
Total Capitalization,1022513000.0,857735000.0,641791000.0,631567000.0
Total Equity Gross Minority Interest,1022513000.0,857735000.0,641791000.0,631567000.0
Stockholders Equity,1022513000.0,857735000.0,641791000.0,631567000.0
Gains Losses Not Affecting Retained Earnings,-2369000.0,-19939000.0,-20708000.0,-17706000.0
Other Equity Adjustments,-2369000.0,-19939000.0,-20708000.0,-17706000.0
Retained Earnings,1003380000.0,856013000.0,640936000.0,627778000.0
Additional Paid In Capital,0.0,0.0,0.0,0.0
Capital Stock,21502000.0,21661000.0,21563000.0,21495000.0
Common Stock,21502000.0,21661000.0,21563000.0,21495000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,264332000.0,271278000.0,222574000.0,158938000.0
Total Non Current Liabilities Net Minority Interest,112475000.0,92675000.0,91725000.0,79373000.0
Other Non Current Liabilities,7840000.0,5430000.0,7111000.0,49000.0
Employee Benefits,23724000.0,23106000.0,35376000.0,33080000.0
Non Current Pension And Other Postretirement Benefit Plans,23724000.0,23106000.0,35376000.0,33080000.0
Non Current Accrued Expenses,10202000.0,7149000.0,11770000.0,11822000.0
Non Current Deferred Liabilities,51290000.0,37473000.0,17749000.0,13332000.0
Non Current Deferred Taxes Liabilities,51290000.0,37473000.0,17749000.0,13332000.0
Long Term Debt And Capital Lease Obligation,19419000.0,19517000.0,19719000.0,21090000.0
Long Term Capital Lease Obligation,19419000.0,19517000.0,19719000.0,21090000.0
Current Liabilities,151857000.0,178603000.0,130849000.0,79565000.0
Current Deferred Liabilities,15743000.0,0.0,,
Current Deferred Revenue,15743000.0,0.0,,
Current Debt And Capital Lease Obligation,7742000.0,10728000.0,26581000.0,9192000.0
Current Capital Lease Obligation,7742000.0,10728000.0,26581000.0,9192000.0
Pensionand Other Post Retirement Benefit Plans Current,0.0,9610000.0,0.0,
Payables And Accrued Expenses,128372000.0,158265000.0,104268000.0,70373000.0
Current Accrued Expenses,38600000.0,38257000.0,27303000.0,25390000.0
Payables,89772000.0,120008000.0,76965000.0,44983000.0
Total Tax Payable,4736000.0,4795000.0,2561000.0,3903000.0
Income Tax Payable,275000.0,499000.0,656000.0,1115000.0
Accounts Payable,85036000.0,115213000.0,74404000.0,41080000.0
Total Assets,1286845000.0,1129013000.0,864365000.0,790505000.0
Total Non Current Assets,559772000.0,425672000.0,372355000.0,362146000.0
Other Non Current Assets,35411000.0,30481000.0,40898000.0,38315000.0
Goodwill And Other Intangible Assets,63649000.0,33234000.0,32150000.0,32150000.0
Other Intangible Assets,12825000.0,1084000.0,,
Goodwill,50824000.0,32150000.0,32150000.0,32150000.0
Net PPE,460712000.0,361957000.0,299307000.0,291681000.0
Accumulated Depreciation,-810933000.0,-775334000.0,-763304000.0,-790712000.0
Gross PPE,1271645000.0,1137291000.0,1062611000.0,1082393000.0
Other Properties,810399000.0,711891000.0,650988000.0,672846000.0
Machinery Furniture Equipment,313568000.0,287607000.0,272794000.0,267784000.0
Buildings And Improvements,129513000.0,120506000.0,120649000.0,122289000.0
Land And Improvements,18165000.0,17287000.0,18180000.0,19474000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,727073000.0,703341000.0,492010000.0,428359000.0
Other Current Assets,2768000.0,3086000.0,3682000.0,3075000.0
Assets Held For Sale Current,,,692000.0,4032000.0
Prepaid Assets,12907000.0,17753000.0,9773000.0,9124000.0
Inventory,110904000.0,97107000.0,78983000.0,82918000.0
Finished Goods,1032000.0,1723000.0,1274000.0,1515000.0
Raw Materials,109872000.0,95384000.0,77709000.0,81403000.0
Receivables,377184000.0,458971000.0,317139000.0,244714000.0
Receivables Adjustments Allowances,-7109000.0,-7078000.0,-6765000.0,-4815000.0
Other Receivables,678000.0,4816000.0,83900000.0,31385000.0
Taxes Receivable,52269000.0,42403000.0,58504000.0,82943000.0
Accounts Receivable,331346000.0,418830000.0,181500000.0,135201000.0
Gross Accounts Receivable,331346000.0,418830000.0,,
Cash Cash Equivalents And Short Term Investments,223310000.0,126424000.0,82433000.0,84496000.0
Cash And Cash Equivalents,223310000.0,126424000.0,82433000.0,84496000.0
