,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,213758000.0,61734000.0,-19926000.0,12893000.0
Repurchase Of Capital Stock,-21088000.0,-918000.0,-567000.0,-826000.0
Repayment Of Debt,,-24017000.0,-1584000.0,0.0
Capital Expenditure,-181005000.0,-139552000.0,-67645000.0,-65065000.0
Interest Paid Supplemental Data,166000.0,170000.0,166000.0,160000.0
Income Tax Paid Supplemental Data,62226000.0,35809000.0,,
End Cash Position,223310000.0,126424000.0,82433000.0,84496000.0
Beginning Cash Position,126424000.0,82433000.0,84496000.0,50023000.0
Changes In Cash,96886000.0,43991000.0,-2063000.0,34473000.0
Financing Cash Flow,-56165000.0,-33580000.0,-2151000.0,-826000.0
Cash Flow From Continuing Financing Activities,-56165000.0,-33580000.0,-2151000.0,-826000.0
Net Other Financing Charges,-515000.0,-24017000.0,-1584000.0,
Cash Dividends Paid,-34562000.0,-8645000.0,0.0,0.0
Common Stock Dividend Paid,-34562000.0,-8645000.0,0.0,0.0
Net Common Stock Issuance,-21088000.0,-918000.0,-567000.0,-826000.0
Common Stock Payments,-21088000.0,-918000.0,-567000.0,-826000.0
Net Issuance Payments Of Debt,,-24017000.0,-1584000.0,0.0
Net Long Term Debt Issuance,,-24017000.0,-1584000.0,0.0
Long Term Debt Payments,,-24017000.0,-1584000.0,0.0
Investing Cash Flow,-241712000.0,-123715000.0,-47631000.0,-42659000.0
Cash Flow From Continuing Investing Activities,-241712000.0,-123715000.0,-47631000.0,-42659000.0
Net Other Investing Changes,18091000.0,15837000.0,20014000.0,22406000.0
Net Investment Purchase And Sale,,0.0,0.0,0.0
Sale Of Investment,,0.0,0.0,1566000.0
Purchase Of Investment,,0.0,0.0,-1566000.0
Net Business Purchase And Sale,-78798000.0,0.0,0.0,
Purchase Of Business,-78798000.0,0.0,0.0,
Capital Expenditure Reported,-181005000.0,-139552000.0,-67645000.0,-65065000.0
Operating Cash Flow,394763000.0,201286000.0,47719000.0,77958000.0
Cash Flow From Continuing Operating Activities,394763000.0,201286000.0,47719000.0,77958000.0
Change In Working Capital,65931000.0,-120729000.0,-32586000.0,11322000.0
Change In Other Working Capital,-5419000.0,-4589000.0,-1065000.0,-3249000.0
Change In Other Current Liabilities,6353000.0,-2891000.0,2831000.0,-2004000.0
Change In Other Current Assets,-974000.0,9712000.0,-1080000.0,-3592000.0
Change In Payables And Accrued Expense,-37372000.0,40636000.0,29005000.0,-21217000.0
Change In Accrued Expense,-2794000.0,2643000.0,-2553000.0,-12029000.0
Change In Payable,-34578000.0,37993000.0,31558000.0,-9188000.0
Change In Account Payable,-34519000.0,35759000.0,32900000.0,-9130000.0
Change In Tax Payable,-59000.0,2234000.0,-1342000.0,-58000.0
Change In Income Tax Payable,-59000.0,2234000.0,-1342000.0,-58000.0
Change In Prepaid Assets,5233000.0,-7980000.0,-650000.0,1337000.0
Change In Inventory,-12341000.0,-18413000.0,3951000.0,18076000.0
Change In Receivables,110451000.0,-141793000.0,-66643000.0,21971000.0
Changes In Account Receivables,104574000.0,-157894000.0,-91082000.0,80769000.0
Other Non Cash Items,126000.0,647000.0,-180000.0,
Stock Based Compensation,7881000.0,6375000.0,6576000.0,8735000.0
Asset Impairment Charge,,,0.0,211043000.0
Deferred Tax,8647000.0,19496000.0,4888000.0,-25845000.0
Deferred Income Tax,8647000.0,19496000.0,4888000.0,-25845000.0
Depreciation Amortization Depletion,108123000.0,83017000.0,72686000.0,95309000.0
Depreciation And Amortization,108123000.0,83017000.0,72686000.0,95309000.0
Depreciation,,,72506000.0,95309000.0
Operating Gains Losses,8942000.0,-5883000.0,-10882000.0,200629000.0
Pension And Employee Benefit Expense,18286000.0,2921000.0,0.0,210152000.0
Gain Loss On Investment Securities,,,,-891000.0
Gain Loss On Sale Of PPE,,,,-9523000.0
Net Income From Continuing Operations,195113000.0,218363000.0,7217000.0,-212192000.0
