,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,2233216.0,2165784.0,2938140.0,-63839340.0
Tax Rate For Calcs,0.239,0.246,0.27,0.314
Normalized EBITDA,355363000.0,364459000.0,80181000.0,-10439000.0
Total Unusual Items,9344000.0,8804000.0,10882000.0,-203310000.0
Total Unusual Items Excluding Goodwill,9344000.0,8804000.0,10882000.0,-203310000.0
Net Income From Continuing Operation Net Minority Interest,195113000.0,218363000.0,7217000.0,-212192000.0
Reconciled Depreciation,108123000.0,83017000.0,72686000.0,95309000.0
Reconciled Cost Of Revenue,1197642000.0,1171132000.0,735948000.0,576269000.0
EBITDA,364707000.0,373263000.0,91063000.0,-213749000.0
EBIT,256584000.0,290246000.0,18377000.0,-309058000.0
Net Interest Income,8258000.0,557000.0,-1870000.0,123000.0
Interest Expense,341000.0,614000.0,1929000.0,373000.0
Interest Income,8599000.0,1171000.0,59000.0,496000.0
Normalized Income,188002216.0,211724784.0,-726860.0,-72721340.0
Net Income From Continuing And Discontinued Operation,195113000.0,218363000.0,7217000.0,-212192000.0
Total Expenses,1381868000.0,1322626000.0,859520000.0,699967000.0
Total Operating Income As Reported,244950000.0,287940000.0,16291000.0,-309635000.0
Diluted Average Shares,212927000.0,213331000.0,212990000.0,212492000.0
Basic Average Shares,212927000.0,213331000.0,212990000.0,212492000.0
Diluted EPS,0.9,1.01,0.03,-1.0
Basic EPS,0.9,1.01,0.03,-1.0
Diluted NI Availto Com Stockholders,192014000.0,215166000.0,7128000.0,-212192000.0
Net Income Common Stockholders,192014000.0,215166000.0,7128000.0,-212192000.0
Otherunder Preferred Stock Dividend,3099000.0,3197000.0,89000.0,0.0
Net Income,195113000.0,218363000.0,7217000.0,-212192000.0
Net Income Including Noncontrolling Interests,195113000.0,218363000.0,7217000.0,-212192000.0
Net Income Continuous Operations,195113000.0,218363000.0,7217000.0,-212192000.0
Tax Provision,61130000.0,71269000.0,9231000.0,-97239000.0
Pretax Income,256243000.0,289632000.0,16448000.0,-309431000.0
Other Income Expense,12379000.0,9939000.0,12909000.0,-207889000.0
Other Non Operating Income Expenses,3035000.0,1135000.0,2027000.0,-4579000.0
Special Income Charges,9344000.0,8804000.0,10882000.0,-203310000.0
Gain On Sale Of Ppe,9344000.0,8804000.0,10882000.0,3547000.0
Write Off,,0.0,0.0,210000.0
Impairment Of Capital Assets,,0.0,0.0,204765000.0
Restructuring And Mergern Acquisition,,0.0,0.0,1882000.0
Net Non Operating Interest Income Expense,8258000.0,557000.0,-1870000.0,123000.0
Interest Expense Non Operating,341000.0,614000.0,1929000.0,373000.0
Interest Income Non Operating,8599000.0,1171000.0,59000.0,496000.0
Operating Income,235606000.0,279136000.0,5409000.0,-101665000.0
Operating Expense,184226000.0,151494000.0,123572000.0,123698000.0
Depreciation Amortization Depletion Income Statement,,,,95530000.0
Depreciation And Amortization In Income Statement,,,,95530000.0
Selling General And Administration,184226000.0,151494000.0,123572000.0,123698000.0
General And Administrative Expense,184226000.0,151494000.0,123572000.0,
Other Gand A,165940000.0,148573000.0,123572000.0,
Salaries And Wages,18286000.0,2921000.0,0.0,
Gross Profit,419832000.0,430630000.0,128981000.0,22033000.0
Cost Of Revenue,1197642000.0,1171132000.0,735948000.0,576269000.0
Total Revenue,1617474000.0,1601762000.0,864929000.0,598302000.0
Operating Revenue,1617474000.0,1601762000.0,864929000.0,598302000.0
