,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,65409329.0,60903000.0,59035000.0,47713000.0
Share Issued,65409329.0,60903000.0,59035000.0,47713000.0
Total Debt,39973000.0,35521000.0,33208000.0,28132000.0
Tangible Book Value,482516000.0,564093000.0,460820000.0,345146000.0
Invested Capital,865522000.0,571917000.0,468644000.0,352970000.0
Working Capital,380518000.0,537993000.0,425911000.0,376227000.0
Net Tangible Assets,482516000.0,564093000.0,460820000.0,345146000.0
Capital Lease Obligations,39973000.0,35521000.0,33208000.0,28132000.0
Common Stock Equity,865522000.0,571917000.0,468644000.0,352970000.0
Total Capitalization,865522000.0,571917000.0,468644000.0,352970000.0
Total Equity Gross Minority Interest,1064770000.0,710445000.0,595033000.0,550770000.0
Minority Interest,199248000.0,138528000.0,126389000.0,197800000.0
Stockholders Equity,865522000.0,571917000.0,468644000.0,352970000.0
Gains Losses Not Affecting Retained Earnings,-826000.0,-984000.0,8000.0,330000.0
Other Equity Adjustments,-826000.0,-984000.0,8000.0,330000.0
Retained Earnings,400682000.0,261764000.0,178446000.0,150086000.0
Additional Paid In Capital,465012000.0,310528000.0,289600000.0,202077000.0
Capital Stock,654000.0,609000.0,590000.0,477000.0
Common Stock,654000.0,609000.0,590000.0,477000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,457791000.0,408451000.0,387045000.0,264824000.0
Total Non Current Liabilities Net Minority Interest,282131000.0,291802000.0,294471000.0,215909000.0
Other Non Current Liabilities,,265025000.0,269838000.0,195061000.0
Non Current Deferred Liabilities,253658000.0,266991000.0,271010000.0,195847000.0
Non Current Deferred Taxes Liabilities,253658000.0,266991000.0,271010000.0,195847000.0
Long Term Debt And Capital Lease Obligation,28473000.0,24811000.0,23461000.0,20062000.0
Long Term Capital Lease Obligation,28473000.0,24811000.0,23461000.0,20062000.0
Current Liabilities,175660000.0,116649000.0,92574000.0,48915000.0
Other Current Liabilities,20810000.0,27544000.0,11769000.0,9290000.0
Current Deferred Liabilities,34887000.0,28994000.0,13533000.0,10358000.0
Current Deferred Revenue,14032000.0,1450000.0,1764000.0,1068000.0
Current Deferred Taxes Liabilities,20855000.0,27544000.0,11769000.0,9290000.0
Current Debt And Capital Lease Obligation,11500000.0,10710000.0,9747000.0,8070000.0
Current Capital Lease Obligation,11500000.0,10710000.0,9747000.0,8070000.0
Pensionand Other Post Retirement Benefit Plans Current,197000.0,576000.0,269000.0,0.0
Payables And Accrued Expenses,108266000.0,76369000.0,69025000.0,30487000.0
Current Accrued Expenses,26973000.0,22844000.0,23038000.0,7267000.0
Payables,81293000.0,53525000.0,45987000.0,23220000.0
Dividends Payable,612000.0,484000.0,346000.0,271000.0
Total Tax Payable,8840000.0,5265000.0,2823000.0,2786000.0
Income Tax Payable,4274000.0,2537000.0,1182000.0,2336000.0
Accounts Payable,71841000.0,47776000.0,42818000.0,20163000.0
Total Assets,1522561000.0,1118896000.0,982078000.0,815594000.0
Total Non Current Assets,966383000.0,464254000.0,463593000.0,390452000.0
Other Non Current Assets,9527000.0,1605000.0,1040000.0,1206000.0
Non Current Deferred Assets,204852000.0,301644000.0,303074000.0,216603000.0
Non Current Deferred Taxes Assets,204852000.0,301644000.0,303074000.0,216603000.0
Goodwill And Other Intangible Assets,383006000.0,7824000.0,7824000.0,7824000.0
Other Intangible Assets,179978000.0,,,
Goodwill,203028000.0,7824000.0,7824000.0,7824000.0
Net PPE,368998000.0,153181000.0,151655000.0,164819000.0
Accumulated Depreciation,-231594000.0,-200573000.0,-175992000.0,-147221000.0
Gross PPE,600592000.0,353754000.0,327647000.0,312040000.0
Construction In Progress,22781000.0,13946000.0,13033000.0,15489000.0
Other Properties,258017000.0,217271000.0,203242000.0,194006000.0
Machinery Furniture Equipment,171378000.0,91755000.0,85637000.0,77407000.0
Buildings And Improvements,131974000.0,25480000.0,22532000.0,21935000.0
Land And Improvements,16442000.0,5302000.0,3203000.0,3203000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,556178000.0,654642000.0,518485000.0,425142000.0
Other Current Assets,11380000.0,10564000.0,7794000.0,4935000.0
Prepaid Assets,,,7794000.0,4935000.0
Inventory,205625000.0,161283000.0,119817000.0,87480000.0
Finished Goods,171781000.0,152689000.0,113659000.0,81879000.0
Work In Process,11471000.0,5444000.0,4288000.0,3598000.0
Raw Materials,22373000.0,3150000.0,1870000.0,2003000.0
Receivables,205381000.0,138268000.0,89205000.0,44068000.0
Accounts Receivable,205381000.0,138268000.0,89205000.0,44068000.0
Allowance For Doubtful Accounts Receivable,-3642000.0,-1060000.0,-741000.0,-598000.0
Gross Accounts Receivable,209023000.0,139328000.0,89946000.0,44666000.0
Cash Cash Equivalents And Short Term Investments,133792000.0,344527000.0,301669000.0,288659000.0
Cash And Cash Equivalents,133792000.0,344527000.0,301669000.0,288659000.0
