,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2687850.0,0.0,0.0,-290784.0
Tax Rate For Calcs,0.181,0.178,0.102,0.156
Normalized EBITDA,347199000.0,211572000.0,112286000.0,113525000.0
Total Unusual Items,-14850000.0,0.0,0.0,-1864000.0
Total Unusual Items Excluding Goodwill,-14850000.0,0.0,0.0,-1864000.0
Net Income From Continuing Operation Net Minority Interest,169171000.0,110174000.0,49593000.0,34446000.0
Reconciled Depreciation,65045000.0,34124000.0,36308000.0,40520000.0
Reconciled Cost Of Revenue,690668000.0,445921000.0,317141000.0,236948000.0
EBITDA,332349000.0,211572000.0,112286000.0,111661000.0
EBIT,267304000.0,177448000.0,75978000.0,71141000.0
Net Interest Income,-6480000.0,3714000.0,-774000.0,701000.0
Interest Expense,4928000.0,896000.0,833000.0,956000.0
Interest Income,3756000.0,4942000.0,353000.0,1828000.0
Normalized Income,181333150.0,110174000.0,49593000.0,36019216.0
Net Income From Continuing And Discontinued Operation,169171000.0,110174000.0,49593000.0,34446000.0
Total Expenses,817744000.0,513621000.0,363162000.0,276663000.0
Total Operating Income As Reported,264366000.0,174748000.0,75427000.0,70039000.0
Diluted Average Shares,79460000.0,76337000.0,76107000.0,75495000.0
Basic Average Shares,64641000.0,60323000.0,55398000.0,47457000.0
Diluted EPS,2.57,1.8,0.83,0.72
Basic EPS,2.62,1.83,0.9,0.73
Diluted NI Availto Com Stockholders,204246000.0,137409000.0,63337000.0,54380000.0
Average Dilution Earnings,35075000.0,27235000.0,13744000.0,19934000.0
Net Income Common Stockholders,169171000.0,110174000.0,49593000.0,34446000.0
Net Income,169171000.0,110174000.0,49593000.0,34446000.0
Minority Interests,-91338000.0,-69896000.0,-35754000.0,-24769000.0
Net Income Including Noncontrolling Interests,214840000.0,145122000.0,67470000.0,59215000.0
Net Income Continuous Operations,214840000.0,145122000.0,67470000.0,59215000.0
Tax Provision,47536000.0,31430000.0,7675000.0,10970000.0
Pretax Income,262376000.0,176552000.0,75145000.0,70185000.0
Other Income Expense,-10360000.0,-1910000.0,492000.0,-2419000.0
Other Non Operating Income Expenses,4490000.0,-1910000.0,492000.0,-555000.0
Special Income Charges,-14850000.0,0.0,0.0,-1864000.0
Restructuring And Mergern Acquisition,14850000.0,0.0,0.0,1864000.0
Net Non Operating Interest Income Expense,-6480000.0,3714000.0,-774000.0,701000.0
Total Other Finance Cost,5308000.0,332000.0,294000.0,171000.0
Interest Expense Non Operating,4928000.0,896000.0,833000.0,956000.0
Interest Income Non Operating,3756000.0,4942000.0,353000.0,1828000.0
Operating Income,279216000.0,174748000.0,75427000.0,71903000.0
Operating Expense,127076000.0,67700000.0,46021000.0,39715000.0
Selling General And Administration,127076000.0,67700000.0,46021000.0,39715000.0
Gross Profit,406292000.0,242448000.0,121448000.0,111618000.0
Cost Of Revenue,690668000.0,445921000.0,317141000.0,236948000.0
Total Revenue,1096960000.0,688369000.0,438589000.0,348566000.0
Operating Revenue,1096960000.0,688369000.0,438589000.0,348566000.0
